,Low-Density Growth Rate,Migration Rate,Suppressed,Gen Suppressed,Chased,Gen Chased,Avg Nondrive GC during Chase,Var in Nondrive GC during Chase,Avg Overall GC during Chase,Var in Overall GC During Chase,Avg Popsize during Chase,Var in Popsize during Chase,Duration of Chase,Drive Lost,Gen Drive Lost,Equilibrium State,Gen Equilibrium State,Simulation Stopped after 1000,Rate One Drive at End,R1 Resistance Occurred,Gen 10000 R1 Alleles Formed,DriveLostWithChase,DriveLostWithoutChase
2523,5,0.01,0,10000,1,89,0.050000544,0.000532771,0.03209826,0.000242282,10989.45535,16098216.65,911,0,10000,0,10000,1,0.364571,0,10000,0,0
2524,5,0.01,0,10000,1,89,0.052973543,0.00153111,0.034803628,0.000834088,11161.11136,18606709.5,911,0,10000,0,10000,1,0.483256,0,10000,0,0
2525,5,0.01,1,115,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
2526,5,0.01,0,10000,1,88,0.047207227,0.000394086,0.030401753,0.000173459,11250.60132,18403024.64,912,0,10000,0,10000,1,0.322614,0,10000,0,0
2527,5,0.01,0,10000,1,78,0.067640145,0.00262153,0.045470785,0.001294503,9548.553377,19212430.21,922,0,10000,0,10000,1,0.280021,0,10000,0,0
2528,5,0.01,0,10000,1,78,0.042557163,0.000247305,0.026970204,0.000126874,11283.49237,9560711.858,922,0,10000,0,10000,1,0.316721,0,10000,0,0
2529,5,0.01,0,10000,1,82,0.046368711,0.000582934,0.030039434,0.000261346,11603.1674,18870757.93,918,0,10000,0,10000,1,0.383829,0,10000,0,0
2530,5,0.01,0,10000,1,86,0.040585288,0.000188336,0.02479662,6.94E-05,12014.52308,14234077.78,914,0,10000,0,10000,1,0.361711,0,10000,0,0
2531,5,0.01,1,312,1,82,0.097754151,0.033444641,0.062538167,0.015919506,13172.48416,38191892.1,225,0,10000,0,10000,0,10000,0,10000,0,0
2532,5,0.01,0,10000,1,83,0.041088599,0.000176613,0.026033486,8.36E-05,12227.56079,12759460.96,917,0,10000,0,10000,1,0.503319,0,10000,0,0
2533,5,0.01,0,10000,1,85,0.042891597,0.000289768,0.027201041,0.0001394,11494.17563,11997457.78,915,0,10000,0,10000,1,0.413127,0,10000,0,0
2534,5,0.01,0,10000,1,84,0.057402246,0.000882969,0.03758187,0.00041119,10110.84759,19031566.98,916,0,10000,0,10000,1,0.270286,0,10000,0,0
2535,5,0.01,0,10000,1,81,0.053359177,0.00130451,0.034635189,0.000664802,10969.85137,18272664.22,919,0,10000,0,10000,1,0.316474,0,10000,0,0
2536,5,0.01,0,10000,1,85,0.048413412,0.000574309,0.031572928,0.0002733,11374.30735,21304857.33,915,0,10000,0,10000,1,0.369071,0,10000,0,0
2537,5,0.01,0,10000,1,75,0.048585853,0.00076283,0.031730638,0.000355712,11515.98371,19964623.58,925,0,10000,0,10000,1,0.319586,0,10000,0,0
2538,5,0.01,0,10000,1,88,0.043999425,0.000407271,0.028011177,0.000181021,11947.54515,19302953.55,912,0,10000,0,10000,1,0.276963,0,10000,0,0
2539,5,0.01,0,10000,1,82,0.041668747,0.000544339,0.026164636,0.000251267,12321.71116,18828613.56,918,0,10000,0,10000,1,0.368962,0,10000,0,0
2540,5,0.01,0,10000,1,82,0.040313859,0.000225145,0.025879256,9.97E-05,12328.88293,14979697.98,918,0,10000,0,10000,1,0.268521,0,10000,0,0
