Density,Suppressed, Gen Suppressed, Chased, Gen Chased, Avg GC during Chase, Var in GC during Chase, Avg Popsize during Chase, Var in Popsize during Chase, Duration of Chase, Drive Lost, Gen Drive Lost, Equilibrium State, Gen Equilibrium State, Simulation Stopped after 1000, Rate One Drive at End
90000,1,68,1,23,0.161228385,0.023963561,970.675,2150075.569,44,0,10000,0,10000,0,10000
90000,1,28,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
90000,1,72,1,25,0.065018929,0.000881692,1658.142857,1406682.503,46,0,10000,0,10000,0,10000
90000,1,28,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
90000,1,28,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
90000,1,109,1,23,0.09135839,0.003313753,1619.3625,2873345.706,84,0,10000,0,10000,0,10000
100000,1,33,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
100000,1,29,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
100000,1,145,1,25,0.133749842,0.008357047,1198.078261,4065310.524,119,0,10000,0,10000,0,10000
100000,1,171,1,28,0.139823515,0.021399136,5907.933824,89200220.21,140,0,10000,0,10000,0,10000
100000,1,158,1,28,0.136124134,0.008300358,2018.733871,12349951.52,128,0,10000,0,10000,0,10000
100000,1,141,1,23,0.100221568,0.005790533,4643.459459,37564903.96,115,0,10000,0,10000,0,10000
100000,1,181,1,27,0.096921505,0.006655577,4465.533784,26752924.9,152,0,10000,0,10000,0,10000
100000,0,10000,1,23,0.164354782,0.016608767,169.3571429,17670.01531,32,1,55,0,10000,0,10000
100000,1,40,1,30,0.490949,0.002320201,47.8,118.16,9,0,10000,0,10000,0,10000
100000,1,29,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
100000,1,29,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
100000,1,30,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
100000,1,27,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
100000,1,29,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
100000,1,136,1,25,0.15161529,0.019241939,8486.707547,148924007,110,0,10000,0,10000,0,10000
100000,1,56,1,26,0.204116468,0.007713044,117.68,8097.2576,29,0,10000,0,10000,0,10000
100000,1,588,1,25,0.089998114,0.003990434,2732.5681,14307995.58,562,0,10000,0,10000,0,10000
100000,1,32,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
100000,1,215,1,23,0.097251619,0.004166496,2719.973262,18996270.17,191,0,10000,0,10000,0,10000
100000,1,101,1,23,0.095283418,0.003704813,2780.726027,14327994.06,77,0,10000,0,10000,0,10000
