Density,Suppressed, Gen Suppressed, Chased, Gen Chased, Avg GC during Chase, Var in GC during Chase, Avg Popsize during Chase, Var in Popsize during Chase, Duration of Chase, Drive Lost, Gen Drive Lost, Equilibrium State, Gen Equilibrium State, Simulation Stopped after 1000, Rate One Drive at End
130000,1,72,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
130000,1,67,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
130000,1,71,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
130000,1,69,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
130000,1,73,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
130000,1,72,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
130000,1,72,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
130000,1,70,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
140000,1,69,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
140000,1,65,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
140000,1,71,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
140000,1,71,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
140000,1,65,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
140000,1,68,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
140000,1,101,1,60,0.175145454,0.009222315,5900.485714,24542027.68,39,0,10000,0,10000,0,10000
140000,1,71,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
140000,1,69,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
140000,1,74,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
140000,1,69,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
140000,1,72,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
140000,1,70,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
140000,1,66,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
140000,1,69,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
140000,1,71,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
140000,1,69,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
140000,1,79,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
140000,1,71,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
140000,1,69,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
150000,1,79,1,64,0.3849922,0.008131961,229.2,14564.36,14,0,10000,0,10000,0,10000
150000,1,71,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
150000,1,68,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
