"","R1 Rate","Suppressed","Gen Suppressed","Chased","Gen Chased","Avg Nondrive GC during Chase","Var in Nondrive GC during Chase","Avg Overall GC during Chase","Var in Overall GC During Chase","Avg Popsize during Chase","Var in Popsize during Chase","Duration of Chase","Drive Lost","Gen Drive Lost","Equilibrium State","Gen Equilibrium State","Simulation Stopped after 1000","Rate One Drive at End","R1 Resistance Occurred","Gen 10000 R1 Alleles Formed","DriveLostWithChase","DriveLostWithoutChase","ResWithChase","ResWithoutChase"
"126",1e-06,1,31,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"127",1e-06,1,34,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"128",1e-06,1,29,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"129",1e-06,1,310,1,23,0.066498728,0.001716071,0.026987374,0.000374599,7848.446429,20891502.23,284,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"130",1e-06,1,964,1,22,0.083420167,0.003839674,0.040038418,0.001979462,7045.300214,20860977.39,941,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"131",1e-06,1,895,1,27,0.092306552,0.004612291,0.044493266,0.001756297,6589.234339,25682932.14,866,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"132",1e-06,1,753,1,22,0.079399801,0.002566831,0.034774127,0.00078719,7009.924033,20419321.89,728,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"133",1e-06,1,360,1,24,0.095180507,0.004894602,0.045291284,0.002031754,6492.057576,16554061.55,334,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"134",1e-06,1,705,1,26,0.095229151,0.004989345,0.043748837,0.001748656,7317.97619,34198003.01,676,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"135",1e-06,1,209,1,25,0.089099511,0.00573633,0.04418968,0.001637146,6564.679775,27175487.02,182,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"136",1e-06,1,99,1,23,0.108453622,0.008039674,0.056801148,0.002776247,6491.441176,36136531.89,73,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"137",1e-06,1,42,1,24,0.097877582,0.001231547,0.061122391,0.000467696,2610.272727,1525428.926,15,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"138",1e-06,1,284,1,28,0.085481551,0.002590701,0.039205839,0.000942512,6659.437751,20409462.47,253,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"139",1e-06,1,818,1,22,0.074420308,0.002488546,0.031800202,0.000786931,7448.382763,21531225.13,793,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"140",1e-06,1,37,1,28,0.435112667,0.020438967,0.223278,0.005798805,345.6666667,2186.888889,7,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"141",1e-06,1,35,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"142",1e-06,1,623,1,22,0.070864426,0.001927322,0.029557777,0.000463188,8398.624579,36911967.46,598,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"143",1e-06,1,406,1,24,0.084894161,0.005455974,0.041282769,0.002273753,8541.866667,52040425.67,379,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"144",1e-06,1,131,1,25,0.100305208,0.01202532,0.040552231,0.000940884,6084.36,18866200.91,104,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"145",1e-06,1,720,1,25,0.088678058,0.003787678,0.042605774,0.001590918,6441.911466,27771578.86,693,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"146",1e-06,1,54,1,29,0.196723211,0.003850824,0.100426353,0.001446151,3065.526316,3145682.46,23,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"147",1e-06,1,225,1,26,0.100344618,0.006681714,0.054200948,0.00274974,5818.390625,23046747.49,196,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"148",1e-06,0,10000,1,24,0.091552618,0.004501798,0.041358291,0.001849516,8137.050584,31575958,261,0,10000,0,10000,0,10000,1,285,0,0,1,0
"149",1e-06,0,10000,1,25,0.072345874,0.001740767,0.032905941,0.000875845,7473.574665,23889483.35,975,0,10000,0,10000,1,0.532018,0,10000,0,0,0,0
"150",1e-06,1,87,1,23,0.091468581,0.004218165,0.043777721,0.001570525,6126.701754,18174041.72,61,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"151",1e-06,1,155,1,22,0.132541233,0.013006556,0.064292138,0.002392826,3690.346457,4890468.841,131,0,10000,0,10000,0,10000,0,10000,0,0,0,0
