,Avoidance Factor,Fecundity Penalty,Suppressed,Gen Suppressed,Chased,Gen Chased,Avg Nondrive GC during Chase,Var in Nondrive GC during Chase,Avg Overall GC during Chase,Var in Overall GC During Chase,Avg Popsize during Chase,Var in Popsize during Chase,Duration of Chase,Drive Lost,Gen Drive Lost,Equilibrium State,Gen Equilibrium State,Simulation Stopped after 1000,Rate One Drive at End,R1 Resistance Occurred,Gen 10000 R1 Alleles Formed,DriveLostWithChase,DriveLostWithoutChase
55,-1,0.1,0,10000,1,22,0.059068657,0.001006692,0.022701538,0.000223329,8120.553388,15199543.31,978,0,10000,0,10000,1,0.847253,0,10000,0,0
56,-1,0.1,0,10000,1,24,0.052827215,0.001149876,0.01973616,0.000291296,8861.660494,16444728.61,976,0,10000,0,10000,1,0.55508,0,10000,0,0
57,-1,0.1,0,10000,1,23,0.054230163,0.00114096,0.020662308,0.000315668,9013.210689,28673592.66,977,0,10000,0,10000,1,0.804503,0,10000,0,0
58,-1,0.1,0,10000,1,27,0.056106406,0.000983166,0.021418997,0.000188362,8355.71517,16093977.08,973,0,10000,0,10000,1,0.510253,0,10000,0,0
59,-1,0.1,0,10000,1,22,0.054054304,0.000763825,0.019521426,0.000118949,8425.525667,15771954.92,978,0,10000,0,10000,1,0.85977,0,10000,0,0
60,-1,0.1,0,10000,1,29,0.05073892,0.000655438,0.018640571,0.000154276,8218.075491,9447528.465,971,0,10000,0,10000,1,0.746789,0,10000,0,0
61,-1,0.15,0,10000,1,24,0.065972808,0.001635237,0.025795825,0.000374725,8267.283951,19213180.97,976,0,10000,0,10000,1,0.750249,0,10000,0,0
62,-1,0.15,0,10000,1,25,0.059541376,0.001572131,0.024568323,0.000617108,8377.026777,25490873.78,975,0,10000,0,10000,1,0.89379,0,10000,0,0
63,-1,0.15,0,10000,1,23,0.056554335,0.001003297,0.023120116,0.000419384,7979.176773,18731100.09,977,0,10000,0,10000,1,0.760377,0,10000,0,0
64,-1,0.15,0,10000,1,22,0.054596065,0.000741098,0.019655526,0.000107587,8415.575975,13939723.46,978,0,10000,0,10000,1,0.837523,0,10000,0,0
65,-1,0.15,0,10000,1,25,0.058601015,0.001162516,0.023641608,0.0003061,7756.30999,13701597.58,975,0,10000,0,10000,1,0.631845,0,10000,0,0
66,-1,0.15,0,10000,1,25,0.056882711,0.001001161,0.02041061,0.000153036,9572.940268,24567686.29,975,0,10000,0,10000,1,0.714805,0,10000,0,0
67,-1,0.15,0,10000,1,22,0.05401781,0.000844488,0.019898362,0.000128402,8581.723819,17776776.99,978,0,10000,0,10000,1,0.729522,0,10000,0,0
68,-1,0.15,0,10000,1,24,0.053105607,0.000739986,0.019742176,0.000129429,8844.294239,20713687,976,0,10000,0,10000,1,0.695858,0,10000,0,0
69,-1,0.15,0,10000,1,26,0.05688578,0.001819401,0.022040714,0.000554161,9579.775258,35135653.32,974,0,10000,0,10000,1,0.817028,0,10000,0,0
70,-1,0.15,0,10000,1,23,0.054187753,0.000845065,0.020079235,0.000161425,8470.186023,16783447.59,977,0,10000,0,10000,1,0.766469,0,10000,0,0
71,-1,0.15,0,10000,1,27,0.055126174,0.001024982,0.021860827,0.000273004,8356.681115,19073208.77,973,0,10000,0,10000,1,0.575414,0,10000,0,0
72,-1,0.15,1,669,1,24,0.060434269,0.001465114,0.021774133,0.000308624,8470.087774,12526675.79,642,0,10000,0,10000,0,10000,0,10000,0,0
73,-1,0.15,0,10000,1,23,0.055122875,0.000872708,0.020992736,0.000139431,8532.673176,21186922.59,977,0,10000,0,10000,1,0.82199,0,10000,0,0
74,-1,0.15,0,10000,1,24,0.059396732,0.001037442,0.023004722,0.000202066,7989.408436,16908507.58,976,0,10000,0,10000,1,0.873516,0,10000,0,0
75,-1,0.15,0,10000,1,22,0.056184391,0.000779977,0.021508499,0.000151115,8182.548255,17011847.95,978,0,10000,0,10000,1,0.782714,0,10000,0,0
76,-1,0.15,0,10000,1,23,0.054570173,0.00077866,0.021485569,0.000219118,8253.836588,21216604.9,977,0,10000,0,10000,1,0.695053,0,10000,0,0
77,-1,0.15,0,10000,1,22,0.053434084,0.000784012,0.019609044,0.000113518,8218.2577,14413116.19,978,0,10000,0,10000,1,0.73148,0,10000,0,0
78,-1,0.15,0,10000,1,26,0.078619324,0.00601514,0.038144176,0.002367526,7825.659306,38846843.7,321,1,347,0,10000,0,10000,0,10000,1,0
